"일자","입출구","00시","01시","02시","03시","04시","05시","06시","07시","08시","09시","10시","11시","12시","13시","14시","15시","16시","17시","18시","19시","20시","21시","22시","23시"
"2018.08.01","합계","2,948","1,900","1,667","1,773","2,315","4,053","7,280","11,902","14,787","16,241","19,462","20,919","19,406","19,322","19,466","19,860","18,276","18,197","16,497","12,317","9,599","7,846","5,978","4,160"
"2018.08.02","입구","1,058","886","759","921","1,349","2,185","3,832","5,777","7,401","8,757","10,053","10,392","9,266","9,811","10,351","9,434","9,482","9,370","8,320","5,849","5,012","3,685","2,415","1,515"
"2018.08.02","출구","1,670","1,114","858","754","870","1,560","3,470","6,134","8,040","8,313","9,966","11,310","11,043","10,425","10,112","9,714","9,387","10,355","8,723","6,851","5,142","4,253","3,327","2,542"
"2018.08.02","합계","2,728","2,000","1,617","1,675","2,219","3,745","7,302","11,911","15,441","17,070","20,019","21,702","20,309","20,236","20,463","19,148","18,869","19,725","17,043","12,700","10,154","7,938","5,742","4,057"
"2018.08.03","입구","1,092","809","757","902","1,378","2,302","3,829","5,731","7,202","9,021","10,961","11,602","10,111","11,081","11,308","10,945","12,476","11,202","10,654","7,527","6,442","4,618","3,106","1,993"
"2018.08.03","출구","1,750","1,058","847","796","876","1,577","3,083","5,574","7,298","7,957","9,784","11,381","11,338","11,069","11,227","10,756","11,557","11,327","11,707","9,658","7,592","6,396","4,999","3,573"
"2018.08.03","합계","2,842","1,867","1,604","1,698","2,254","3,879","6,912","11,305","14,500","16,978","20,745","22,983","21,449","22,150","22,535","21,701","24,033","22,529","22,361","17,185","14,034","11,014","8,105","5,566"
"2018.08.04","입구","1,348","988","885","916","1,297","2,274","3,657","5,115","6,968","9,741","11,855","12,361","11,492","11,899","11,938","11,366","11,318","10,666","8,788","7,592","6,784","5,369","3,873","2,285"
"2018.08.04","출구","2,528","1,623","1,207","1,097","1,175","1,824","3,080","5,060","6,759","9,061","11,526","13,444","13,378","12,056","12,026","11,369","11,162","11,323","9,773","7,720","5,962","4,964","4,027","2,609"
"2018.08.04","합계","3,876","2,611","2,092","2,013","2,472","4,098","6,737","10,175","13,727","18,802","23,381","25,805","24,870","23,955","23,964","22,735","22,480","21,989","18,561","15,312","12,746","10,333","7,900","4,894"
"2018.08.05","입구","1,302","863","679","677","1,064","1,824","2,966","3,972","5,801","8,847","11,126","12,487","10,930","11,438","12,230","11,328","10,836","9,775","8,474","7,684","6,970","5,372","3,542","1,906"
"2018.08.05","출구","1,773","1,117","844","691","729","1,160","1,746","2,725","3,992","5,830","7,857","9,780","9,873","9,156","9,263","9,529","9,045","9,362","8,182","6,706","5,428","4,574","3,786","2,422"
"2018.08.05","합계","3,075","1,980","1,523","1,368","1,793","2,984","4,712","6,697","9,793","14,677","18,983","22,267","20,803","20,594","21,493","20,857","19,881","19,137","16,656","14,390","12,398","9,946","7,328","4,328"
"2018.08.06","입구","1,054","704","756","1,141","1,846","3,246","5,051","6,708","7,000","7,762","8,648","8,550","7,658","8,290","8,708","8,103","7,905","7,773","7,016","4,665","3,905","3,725","2,077","1,393"
"2018.08.06","출구","1,495","969","640","669","811","1,744","3,759","7,093","9,930","6,774","7,858","8,883","8,444","8,588","8,611","8,323","7,720","7,519","6,991","5,187","3,959","3,246","2,477","1,802"
"2018.08.06","합계","2,549","1,673","1,396","1,810","2,657","4,990","8,810","13,801","16,930","14,536","16,506","17,433","16,102","16,878","17,319","16,426","15,625","15,292","14,007","9,852","7,864","6,971","4,554","3,195"
"2018.08.07","입구","955","699","818","1,003","1,428","2,246","3,686","5,347","6,644","7,757","8,556","8,585","7,627","8,195","8,633","8,659","8,791","8,415","7,176","4,819","3,772","3,063","2,381","1,457"
"2018.08.07","출구","1,290","848","682","586","828","1,577","3,040","5,767","7,278","7,271","8,122","8,599","8,153","8,107","8,350","7,814","7,722","7,597","7,243","5,127","3,881","3,274","2,546","1,817"
"2018.08.07","합계","2,245","1,547","1,500","1,589","2,256","3,823","6,726","11,114","13,922","15,028","16,678","17,184","15,780","16,302","16,983","16,473","16,513","16,012","14,419","9,946","7,653","6,337","4,927","3,274"
