기점 종점,LEVEL1,값,년(Annual),증감,증감율,구성비,누계,누계구성비
세종,제주,0,2016,0,0,0,0,0
세종,세종,0,2016,0,0,0,0,0
세종,총합계,179800.3,2016,179800.3,179800.3,0,0,0
총합계,서울,3886242.2,2016,3886242.2,3886242.2,0,0,0
총합계,부산,534953.9,2016,534953.9,534953.9,0,0,0
총합계,대구,509605.8,2016,509605.8,509605.8,0,0,0
총합계,인천,1077998.2,2016,1077998.2,1077998.2,0,0,0
총합계,광주,230142.9,2016,230142.9,230142.9,0,0,0
총합계,대전,403343.6,2016,403343.6,403343.6,0,0,0
총합계,울산,199540.8,2016,199540.8,199540.8,0,0,0
총합계,경기,8174823.2,2016,8174823.2,8174823.2,0,0,0
총합계,강원,608071.4,2016,608071.4,608071.4,0,0,0
총합계,충북,608874.9,2016,608874.9,608874.9,0,0,0
총합계,충남,983186.1,2016,983186.1,983186.1,0,0,0
총합계,전북,691810.6,2016,691810.6,691810.6,0,0,0
총합계,전남,993947.7,2016,993947.7,993947.7,0,0,0
총합계,경북,1184120.5,2016,1184120.5,1184120.5,0,0,0
총합계,경남,1249364.5,2016,1249364.5,1249364.5,0,0,0
총합계,제주,261282.1,2016,261282.1,261282.1,0,0,0
총합계,세종,184423.1,2016,184423.1,184423.1,0,0,0
총합계,총합계,21781731.5,2016,21781731.5,21781731.5,0,0,0
